"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1",3,2,-2,-1,0,2,3,3,2,2,2,-2,3,-2,-1,1,2,2
"2",3,-2,3,-2,4,1,2,-2,-3,-1,2,1,3,1,-2,-1,2,0
"3",3,2,-3,-2,-3,2,4,1,0,2,3,2,3,-3,3,-3,0,-3
"4",3,-2,-2,0,1,-1,3,4,4,4,4,3,0,-3,2,-4,-2,-3
"5",1,2,2,2,0,3,2,3,2,1,4,3,3,3,2,2,3,3
"6",2,1,-1,1,2,-1,1,2,1,-3,-2,1,3,1,-4,-4,1,2
"7",-1,-1,3,0,1,1,2,2,2,-2,-3,-2,1,-2,-2,-2,-2,2
"8",2,0,-1,-2,3,3,1,2,0,0,1,-1,1,4,-1,1,0,-1
"9",1,1,2,2,0,1,2,0,1,2,2,1,1,1,0,0,0,2
"10",4,2,2,-2,1,1,4,-1,1,-3,0,4,4,-2,1,-4,4,2
"11",3,-1,1,-3,-2,2,3,3,4,2,3,3,4,-1,1,-1,2,-1
"12",3,0,1,0,0,-1,2,0,2,0,0,0,1,-1,0,-1,1,4
"13",3,4,-1,-1,-2,-1,3,3,4,2,4,2,4,-3,-4,-4,2,-2
"14",3,3,3,0,3,0,4,3,4,3,3,4,3,-1,1,-1,2,0
"15",3,-1,1,-1,1,2,3,3,2,-1,2,3,3,2,-2,0,2,3
"16",4,-1,-2,1,2,2,1,3,1,1,-2,2,2,-1,0,-2,2,3
"17",-2,3,-3,0,-3,-1,2,3,4,4,2,-3,1,-3,-3,-3,0,3
"18",4,3,2,2,3,1,3,3,1,4,4,2,4,2,1,1,2,2
"19",4,0,-3,1,-2,1,2,4,4,-2,1,-1,4,-2,2,-3,2,-3
"20",1,2,-3,-2,0,-3,0,3,3,0,-4,1,4,-4,-4,-2,-4,0
"21",0,0,-3,-1,-3,-2,0,0,4,3,3,3,2,2,-3,-3,0,2
"22",1,4,2,4,-1,2,4,1,0,3,2,2,3,-3,0,-4,1,3
"23",4,4,4,-4,-4,4,4,4,4,0,4,-4,4,-4,-4,-4,4,-4
"24",3,-2,-3,-3,-4,-3,2,4,0,-3,-4,-4,2,-2,2,-2,0,2
"25",0,4,-1,2,-1,2,2,2,3,2,2,-1,1,-3,-3,-2,1,-3
"26",4,0,1,-2,-4,2,4,4,4,2,-2,-1,2,2,0,-4,1,2
"27",2,0,-1,-2,-2,0,-2,0,1,4,1,3,0,0,0,-2,-1,0
"28",3,3,-1,-1,0,0,0,2,3,3,2,2,-1,-2,-2,0,2,-2
"29",3,1,-3,-3,-2,-1,3,4,4,3,-2,3,4,-3,-3,-3,3,-2
"30",4,0,-1,-1,0,-2,2,1,1,2,2,1,0,0,-4,-4,-4,0
"31",-3,3,-4,3,1,3,2,-2,4,3,4,-2,2,-1,-2,-4,2,3
"32",4,-4,-4,-4,-4,4,4,4,4,-4,-4,-4,4,0,-1,0,3,4
"33",-4,4,-3,-4,-3,-4,4,4,4,4,4,4,4,-3,-4,-4,4,-1
"34",-3,-2,-2,-1,-1,-2,-4,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,0
"35",2,2,-2,1,-2,2,2,3,2,-1,3,2,3,0,-3,-3,1,-1
"36",3,1,2,-3,-3,2,2,3,3,4,4,3,0,-2,-3,-3,2,-3
"37",2,4,1,4,3,2,2,1,2,1,2,2,3,2,2,3,2,1
"38",1,3,2,-2,0,1,0,3,4,0,4,1,0,-2,-3,-3,-1,-3
"39",-2,-1,-2,2,-2,2,2,-2,2,-2,2,4,4,2,-2,2,2,4
"40",3,0,-1,-1,0,1,3,4,2,-1,2,0,3,0,-2,-2,3,4
"41",1,2,-2,-4,-4,0,2,3,4,3,3,4,-1,-3,0,-2,2,-3
"42",0,0,-4,-2,0,-3,3,2,4,3,4,4,1,4,3,-2,2,-3
"43",1,3,0,-3,-3,-1,2,3,4,4,4,3,2,-4,-4,-4,2,-4
"44",3,3,3,-2,-1,-1,4,4,4,4,2,4,2,-3,-3,-2,4,2
"45",0,0,0,-3,0,-3,4,4,4,2,3,3,0,0,-3,-1,3,0
"46",3,-3,-3,0,-2,1,2,2,1,-1,-1,-1,1,1,0,-1,1,1
"47",0,0,-3,0,0,0,0,4,4,0,0,3,0,0,-4,0,0,0
"48",2,-1,-3,-1,-1,-1,1,2,3,-3,-3,1,2,1,-2,2,3,3
"49",2,1,-3,0,-2,-2,0,4,4,3,3,0,3,-4,-3,-3,2,-4
"50",3,0,-1,0,-1,1,2,3,-2,-3,-1,-2,2,1,-1,-3,1,1
"51",1,4,1,-2,0,-2,1,2,4,-2,0,-4,0,-3,-1,-4,0,-3
"52",2,1,1,0,-1,1,0,0,-2,1,-1,0,3,0,2,1,0,3
"53",3,2,-2,-3,0,-2,2,0,2,2,2,-2,2,-1,-1,-2,1,0
"54",4,-1,-2,-4,1,1,1,1,-2,-3,-4,-1,3,-2,0,-2,-3,3
"55",3,0,-1,0,0,3,2,4,4,3,3,3,3,-3,3,-2,3,4
"56",3,0,-1,-1,-2,3,2,2,1,-2,-2,-1,2,-3,-1,-2,1,3
"57",4,-2,-4,-2,-4,0,0,3,4,4,4,-2,4,-1,-4,-4,4,4
"58",4,0,1,0,1,2,4,4,1,0,-3,1,4,0,0,-2,0,3
"59",0,1,-1,-1,-2,-2,1,2,2,2,2,1,2,-3,-3,0,2,-3
"60",2,4,-2,-1,-2,-1,-2,4,4,0,0,0,2,-2,0,-2,0,-2
"61",3,3,1,-1,-2,2,4,4,4,-2,-2,-3,-4,-4,-4,-4,2,-2
"62",4,-2,-2,-4,-2,3,4,4,4,-1,3,2,4,-2,-2,-2,3,4
"63",4,-3,-2,-2,-4,1,4,4,3,-4,-3,-3,4,-3,-1,-3,4,4
"64",3,-4,-3,-4,-3,-3,4,3,3,-3,-3,-3,3,-3,2,-3,-3,3
"65",3,0,1,1,-1,-1,2,3,-1,3,4,4,4,0,2,-1,2,-3
"66",0,0,3,0,2,3,3,2,4,0,3,3,4,0,0,0,3,-3
"67",3,-3,-3,-4,-3,-1,2,0,0,-2,-4,3,-4,0,0,-3,0,-4
"68",0,2,3,-1,-1,1,3,4,4,-1,4,1,3,-3,-2,-4,3,-2
"69",3,-2,2,0,0,3,3,4,0,0,2,2,2,2,-2,-1,4,3
"70",0,0,2,-2,-3,2,2,-2,4,4,4,2,2,2,-2,1,2,-3
"71",2,4,4,-3,4,4,0,4,3,-1,-2,-3,2,-4,-4,-3,4,-4
"72",2,3,-3,-3,1,0,4,3,2,3,2,-2,4,-2,1,-2,3,-1
"73",3,0,1,-1,1,1,3,2,4,0,-1,-1,3,-1,0,1,3,2
"74",0,0,-2,-3,-3,2,2,2,2,-1,-2,-1,1,-1,-2,-4,0,2
"75",3,4,4,0,0,0,3,3,4,4,4,3,0,-3,-3,0,2,0
"76",2,3,-3,-3,-3,-1,2,4,3,3,3,3,2,-4,2,-2,1,3
"77",-1,4,1,0,0,0,4,4,4,1,2,4,0,0,-2,-2,4,4
"78",1,0,0,0,0,0,0,0,2,2,0,3,0,-2,-2,-2,2,0
"79",2,1,-1,-1,0,3,0,4,0,3,4,2,3,-2,-2,-3,2,-3
"80",4,3,-1,0,-3,0,4,2,4,4,4,1,0,-4,-4,-3,3,-4
"81",1,-1,3,-1,2,3,2,3,0,-2,-3,-1,3,3,-3,-3,2,2
"82",4,4,0,-3,-2,-1,0,4,4,4,3,3,0,2,2,-3,3,4
"83",1,0,-1,0,-1,1,2,3,0,1,-1,0,3,-1,0,0,2,-2
"84",3,0,-1,4,-4,-4,4,4,2,-2,-1,4,4,3,-2,-1,4,3
"85",4,4,-4,0,-3,3,4,4,4,1,4,4,4,0,-3,-4,3,3
"86",4,-4,-4,-2,0,1,4,1,1,1,2,-3,4,4,0,-2,2,4
"87",4,4,4,0,-2,4,4,4,4,4,4,4,4,0,3,1,4,4
"88",1,1,-2,-2,-2,-1,3,4,4,3,3,3,3,-2,1,3,3,4
"89",4,-3,-4,-3,-3,2,4,4,4,-4,-3,-4,4,-4,4,0,4,4
"90",1,2,2,1,0,0,2,2,4,4,2,4,2,0,0,2,3,1
"91",0,0,2,2,1,-2,2,3,2,0,3,3,2,-4,-2,3,2,4
"92",4,-4,-2,-2,-2,2,3,2,-1,-2,-2,-2,3,-1,2,-2,1,2
"93",4,3,2,-3,0,2,3,3,2,0,1,2,4,1,-2,-3,2,4
"94",2,2,1,3,1,3,2,3,3,-1,2,4,2,3,2,2,3,3
"95",4,-4,3,4,4,3,4,1,4,4,4,4,4,4,2,1,3,3
"96",3,-3,-4,-3,-3,1,3,4,3,1,-2,-3,4,-2,-3,-3,2,3
"97",3,-4,1,-4,-4,1,4,2,3,4,4,0,4,1,4,-4,2,4
"98",0,2,3,0,-2,-1,2,0,2,-2,2,3,0,1,0,-2,0,-3
"99",4,0,-1,-4,-4,4,4,4,4,-4,-2,-4,4,-2,-4,-3,1,4
"100",3,1,1,-2,1,2,1,1,4,1,0,-2,3,1,1,-2,0,4
"101",0,2,-3,-1,-4,1,1,4,2,-4,0,0,1,1,-2,0,2,0
"102",1,2,0,0,-1,0,1,2,2,2,-1,1,2,-2,-1,-2,3,-2
"103",0,2,3,0,0,1,3,4,3,-3,0,-3,3,-1,-2,-3,0,-3
"104",0,0,0,0,-1,0,2,2,2,3,3,2,0,0,0,-2,1,2
"105",2,-2,-1,-4,-4,3,2,2,0,-3,-3,-3,3,-2,2,1,2,3
"106",2,3,4,-2,-3,3,3,3,4,2,2,2,2,2,-2,-3,2,-3
"107",4,-2,-4,-3,-4,-2,4,4,2,4,4,2,4,-4,-3,-4,4,4
"108",4,-3,-2,0,4,4,4,4,0,0,0,2,4,0,4,-2,4,2
"109",3,-2,-1,-2,-1,1,3,4,3,-1,1,-1,4,1,0,-1,2,4
"110",2,2,-1,-2,-2,2,1,2,3,3,-3,-3,4,-3,-3,-3,2,-4
"111",3,3,2,1,4,-3,4,3,-2,0,0,-2,4,2,1,1,4,4
"112",3,3,2,-3,-3,3,3,3,3,-2,4,-3,4,4,0,0,3,4
"113",2,4,-2,3,-4,-1,4,4,4,3,4,4,0,-4,-4,-4,3,-4
"114",2,3,4,-3,-1,-3,3,4,4,2,4,0,2,-2,-4,-1,2,-4
"115",4,-1,2,-1,-2,2,2,4,4,-1,3,-2,0,-1,3,1,1,2
"116",4,-1,4,0,-4,4,0,2,3,2,2,-1,4,-3,-1,-3,2,4
"117",3,1,0,2,3,1,4,4,4,4,4,4,3,-2,-1,-2,4,3
"118",1,2,-1,-3,0,-1,3,0,4,3,4,3,4,0,-3,-3,3,-3
"119",3,-1,3,3,3,3,3,3,-1,2,3,3,4,-3,-3,-3,3,4
"120",4,-1,-4,-1,0,-1,2,4,4,2,3,-1,-2,-1,0,-3,3,-2
"121",3,2,-3,3,-4,3,2,3,2,2,3,2,2,-2,0,-3,2,4
"122",2,-1,-1,-2,-1,1,1,1,-1,-3,3,-2,3,-3,1,-2,2,4
"123",2,1,0,1,1,1,2,2,2,3,2,2,0,-3,0,-2,3,-4
"124",4,3,-2,-1,2,0,-1,0,0,-1,0,0,0,0,0,-2,0,0
"125",1,0,-1,-3,-1,1,2,2,3,4,4,4,2,0,1,2,2,1
"126",2,1,3,-2,0,3,3,3,2,3,4,4,3,-3,0,-3,2,-3
"127",1,3,3,-2,-1,0,3,4,4,1,-3,-3,4,-3,3,-3,3,-2
"128",4,-2,-2,-2,-1,2,2,2,2,-1,-1,-1,-1,-2,1,1,1,0
"129",2,-1,1,-2,0,2,-1,-3,2,1,1,2,-1,1,0,-1,0,4
"130",4,4,2,-1,1,-4,4,3,4,4,4,4,4,-2,-4,-4,4,4
"131",1,3,-4,0,2,-2,0,0,0,0,2,0,-3,0,1,-4,0,-3
"132",3,2,-1,0,-3,-1,3,3,2,-2,-3,-1,1,-3,-2,-3,0,-3
"133",4,-1,-1,-4,-2,2,4,3,2,2,-2,-2,2,2,-2,-2,3,3
"134",2,4,1,0,-3,-1,4,4,4,4,2,4,-1,-1,0,-3,-2,-4
"135",0,1,-3,-2,-4,0,3,3,3,3,4,0,3,-3,-1,-3,3,0
"136",1,3,-2,-1,1,0,2,2,0,4,-3,4,2,-2,-4,-3,2,-4
"137",2,1,1,3,3,4,4,4,1,3,2,4,3,-2,1,2,1,0
"138",1,1,-2,0,3,-4,0,1,4,4,4,4,0,-3,-4,-2,0,2
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-2
"140",3,2,1,-2,-2,-3,-2,4,4,-4,-2,-3,0,-4,0,-4,-2,0
"141",3,0,4,3,-1,2,4,3,4,0,-2,3,4,-3,-4,-3,3,-3
"142",0,2,4,1,1,2,2,4,4,-2,-2,-2,-2,0,-2,0,2,3
"143",3,3,1,-2,0,1,3,2,-2,2,2,4,3,1,-1,-2,2,3
"144",4,4,-2,3,-3,-1,4,4,4,4,4,-2,4,-4,-3,-3,4,3
"145",0,2,3,3,0,-3,4,4,4,4,4,4,4,-3,-4,-4,3,-4
"146",2,-1,0,-1,-2,-1,2,2,-2,-1,3,0,2,-2,1,1,1,-2
"147",4,-2,1,-4,-1,1,3,3,1,1,2,3,4,2,2,0,3,2
"148",1,3,-1,-2,-3,1,-1,2,4,4,4,4,2,-3,-4,-3,2,0
"149",3,1,-3,-3,0,2,3,4,3,3,2,-1,3,-2,-3,-3,3,0
"150",2,3,2,0,-2,-3,3,4,4,3,1,0,2,0,0,-4,4,-2
"151",2,-3,-4,-2,-1,-4,2,3,4,-4,-3,0,3,-2,-2,-4,3,-1
"152",0,-1,-1,-2,0,1,1,2,0,-3,-1,-2,2,-1,0,-1,2,4
"153",-2,4,4,3,0,-4,4,4,4,4,4,4,-4,-4,0,0,4,4
"154",0,1,-3,-2,-1,-2,1,0,0,3,3,4,3,-2,3,-2,2,-3
"155",4,4,-4,-4,0,0,4,4,4,0,4,0,4,-4,-2,-4,0,-4
"156",3,2,-1,-3,0,1,3,4,4,4,4,4,0,-2,-4,-4,2,-2
"157",3,-3,-2,-2,-4,1,3,2,-2,-3,0,1,4,-3,3,-3,3,4
"158",0,1,2,1,1,1,2,1,1,2,1,2,1,0,1,1,2,3
"159",4,4,-4,-3,-2,1,4,4,3,4,-4,-1,4,-4,-4,-3,2,0
"160",2,-3,0,-2,2,2,4,1,3,-2,0,0,1,2,-1,2,2,3
"161",0,0,-1,-4,1,2,3,4,2,3,3,4,0,-4,0,-4,4,-3
"162",0,0,-3,-4,-4,-2,4,4,2,4,4,4,4,-3,3,-3,3,4
"163",4,-3,-2,1,-3,0,4,4,4,2,2,3,3,-3,-2,-4,4,2
"164",3,1,-3,-1,1,-1,2,4,4,3,3,3,-1,-4,-4,-3,-1,-4
"165",1,4,-1,-3,-4,0,2,3,3,-1,3,3,4,-1,-4,-3,-2,-3
"166",0,0,-1,-2,-2,0,4,1,0,0,0,0,4,0,0,-1,2,-2
"167",4,4,0,-4,-4,0,4,4,4,1,4,0,4,-4,-4,-4,4,0
"168",0,1,0,0,0,0,0,0,1,1,2,2,1,-1,-2,-2,0,0
"169",2,1,-1,-3,-3,-1,2,3,4,2,3,-2,0,-3,-4,-4,2,2
"170",4,3,0,-1,2,2,4,4,3,0,0,2,3,3,0,0,1,2
"171",4,0,0,0,0,0,0,2,4,4,3,4,0,-4,-1,-4,2,0
"172",4,-3,-4,2,-2,2,3,2,0,-2,-3,-1,3,-2,1,-2,1,2
"173",0,0,1,0,-2,3,3,4,4,4,0,4,0,-2,-3,0,2,-4
"174",3,0,-2,-4,4,-4,4,4,4,4,4,4,4,4,-3,-4,4,4
"175",0,3,-1,-3,-4,-2,4,3,4,3,4,1,2,-3,-4,-4,-3,-4
"176",4,1,-4,-3,-3,-2,4,4,4,1,4,4,4,-4,0,-3,3,0
"177",-2,2,-3,-4,-4,-4,0,4,4,-4,-4,-4,-3,-4,-4,-4,3,4
"178",3,3,4,1,0,1,3,4,4,4,3,0,0,-3,-4,-4,-2,-4
"179",-1,2,4,3,-3,0,3,3,2,4,-1,2,4,-4,-4,-4,4,-2
"180",2,-2,-1,-3,-2,1,1,1,2,-2,-1,-1,2,-1,1,0,1,1
"181",-1,3,2,-1,-3,-1,3,1,1,-2,-4,-1,3,-2,-3,-3,2,3
"182",3,-1,-3,-4,-2,-2,3,2,3,-4,-4,-2,2,0,-3,-3,0,-2
"183",1,2,3,0,-2,2,2,2,2,4,4,2,2,3,0,-2,2,-3
"184",2,2,1,2,3,2,3,2,2,-1,2,2,2,2,2,2,2,2
"185",3,-3,-2,-3,-4,2,3,2,-1,-3,-3,-3,2,-3,-1,-2,2,3
"186",2,-2,-2,-2,-3,3,3,3,4,-3,-3,4,4,-4,-1,-4,3,-4
"187",0,1,1,-2,0,0,3,3,3,2,2,3,4,0,0,0,0,-2
"188",1,-1,-2,-2,-2,0,2,3,0,-2,-2,4,2,0,3,1,1,4
"189",0,0,-1,-2,0,-2,0,0,0,-1,0,3,0,-2,-3,-3,0,-3
"190",-1,2,-2,2,-1,2,2,2,1,2,2,1,2,-3,-1,-1,1,-3
"191",3,4,4,4,0,4,4,4,4,4,4,4,4,0,0,0,4,0
"192",2,1,-1,1,1,0,0,2,1,0,-1,0,0,2,-2,0,0,1
"193",3,3,0,-2,0,-3,0,2,4,3,4,4,4,0,-1,2,3,4
"194",4,4,0,0,-2,1,-2,4,4,4,4,0,3,-3,-3,-4,-3,-2
"195",0,-4,0,-3,0,-2,1,0,2,0,2,3,2,0,-2,-2,2,-1
"196",4,3,3,3,0,4,4,3,4,3,3,4,4,1,1,3,3,4
"197",3,-3,-3,0,-4,3,4,4,-4,4,4,4,4,0,0,0,2,4
"198",3,1,2,0,1,2,3,4,0,-1,-2,-2,2,-2,2,-2,3,3
"199",2,-3,1,0,-2,3,0,0,3,-4,0,3,4,0,0,0,2,4
"200",4,-3,-2,-2,-1,3,2,2,0,-2,-4,0,3,1,1,2,3,2
"201",2,3,0,2,3,1,3,2,2,-2,-2,-2,2,2,1,1,4,3
"202",2,4,-2,-3,-4,-1,2,3,2,0,4,2,3,-2,-3,-3,1,-3
"203",2,0,-3,0,0,1,4,0,0,-2,-3,-2,1,0,0,1,1,3
"204",1,-2,1,0,-2,-1,2,2,1,-2,1,-3,1,-2,0,-2,0,1
"205",3,3,-1,-4,-2,0,2,0,4,1,2,-3,2,-2,0,-2,2,-3
"206",3,3,1,2,3,3,4,3,2,3,3,1,4,4,2,3,1,3
"207",2,1,-1,-1,-1,1,2,0,-1,-1,-2,-2,2,1,0,-1,1,3
"208",1,3,-4,0,0,0,1,2,4,1,3,3,0,-1,-3,-4,-3,-4
"209",2,0,0,0,0,1,4,4,0,0,0,0,4,0,-1,0,2,3
"210",2,-3,-3,-4,-3,2,3,3,3,2,2,3,4,-3,1,2,1,2
"211",1,2,2,3,-2,-2,3,3,-1,-3,-3,-3,-3,-2,-2,-2,2,2
"212",2,-3,4,-3,-2,2,3,2,-1,2,-1,-1,4,-3,0,-2,4,4
"213",-1,2,3,-1,2,-1,-2,1,1,1,-3,-1,-1,-1,0,-1,-1,3
"214",0,-2,-2,-2,-4,2,2,2,0,0,2,-2,2,2,2,-2,4,2
"215",2,0,1,-3,-2,3,3,4,4,3,3,3,4,3,1,-1,2,2
"216",-1,1,1,-1,0,1,1,2,1,1,2,-2,2,1,-2,1,1,1
"217",0,-1,2,-1,-2,0,4,1,4,-3,4,1,4,-1,-1,-4,4,4
"218",2,1,0,0,-1,1,3,-2,-2,-1,1,-1,2,-1,0,-2,2,3
"219",2,4,0,0,-1,0,2,3,4,2,0,2,2,-1,-3,-4,2,-3
"220",2,-2,2,-1,-2,4,1,1,-1,1,1,1,3,1,1,2,1,1
"221",3,4,3,4,-4,0,4,4,4,3,4,2,0,-3,-2,-3,2,0
"222",2,-1,3,-2,-3,2,1,3,4,3,2,2,2,-1,-2,2,1,-4
"223",-2,0,2,-2,0,0,0,0,4,2,3,4,0,-2,-3,0,0,-2
"224",2,-2,-1,-2,-2,1,1,1,-1,-2,-2,-2,1,-2,-1,-1,1,2
"225",1,-1,1,-2,-1,-2,3,4,1,3,0,3,3,0,-1,-2,2,-3
"226",1,0,-1,0,1,1,3,3,1,3,4,4,3,2,2,2,1,-1
"227",3,1,0,-2,-2,0,3,3,0,-2,0,0,0,-1,-2,0,1,-2
"228",2,-1,1,0,-3,1,3,3,1,3,2,4,1,-2,2,-4,1,4
"229",1,3,-3,-2,-1,-2,2,4,4,4,4,2,1,0,-4,-3,-1,-4
"230",2,2,0,1,1,1,1,-1,4,1,4,2,1,4,-1,4,1,-1
"231",4,-2,-3,-1,-1,1,3,4,3,-1,2,2,4,1,-1,0,2,3
"232",2,-2,-4,-2,-1,1,4,3,-2,-2,-2,-2,4,-3,0,-3,0,4
"233",3,-2,-4,-2,-2,-2,4,3,2,2,-4,3,4,-2,3,-4,3,-4
"234",1,3,-4,-4,-2,4,0,4,4,4,4,4,0,-1,-3,4,4,0
"235",3,2,4,-3,-4,-2,3,3,4,3,2,-1,4,-2,1,-3,2,-2
"236",3,-1,-2,-2,-4,1,1,2,-1,-2,-3,-2,4,-2,-2,-3,-2,4
"237",1,1,-2,-2,-3,3,3,3,0,4,3,3,3,3,0,4,0,-2
"238",4,-2,-4,-4,1,-2,4,4,0,2,2,2,4,-4,1,-3,-2,-4
"239",-2,2,2,-2,-3,-3,2,3,4,-3,0,-3,-3,-3,-3,-3,3,-4
"240",3,-1,-1,2,1,3,3,4,-1,-2,2,-1,3,-3,-3,-1,2,-4
"241",-2,1,2,-1,-1,1,2,1,1,-1,1,0,1,-1,-1,-1,2,3
"242",2,3,0,-3,-2,1,4,4,4,4,4,0,4,3,2,-3,1,0
"243",2,-2,0,1,2,3,3,3,2,3,3,3,1,2,0,0,1,-2
"244",2,0,-3,-2,-1,1,3,0,0,-3,-3,-2,3,0,-1,-1,0,-3
"245",3,1,-3,-3,-4,-3,3,3,4,4,-3,4,3,1,4,-1,3,3
"246",1,1,1,-1,-1,1,1,1,1,1,1,2,2,-1,-2,-1,1,1
"247",2,3,4,3,-1,0,3,4,2,-1,0,0,1,-1,-2,-2,-1,-1
"248",4,0,1,-2,1,2,4,4,4,-2,0,-3,4,3,3,3,3,4
"249",3,1,-2,-2,-3,-2,3,4,4,4,-3,4,4,-4,-4,-3,3,0
"250",-1,0,1,-2,-2,1,0,1,0,1,0,0,-2,-1,1,-1,0,2
"251",2,3,0,-3,-1,-1,1,3,2,3,3,2,2,-2,-1,-3,2,-2
"252",2,3,-3,0,0,0,0,3,2,3,0,0,0,-3,-3,-2,-3,-3
"253",3,-2,-2,-1,-1,1,3,3,1,1,-2,1,4,-1,2,-1,1,3
"254",1,-3,0,-4,-4,3,3,0,4,-3,0,-4,4,-1,-3,-4,4,4
"255",1,3,1,-2,-1,-1,2,3,2,3,3,1,2,-3,-1,-2,1,2
"256",2,0,-2,2,-2,-1,2,3,4,-3,-2,-3,0,-1,-3,0,-2,-4
"257",3,-4,-3,-3,-4,4,3,3,-1,-4,-3,-3,4,-4,0,-4,0,4
"258",1,-1,-2,-2,-3,3,3,-1,2,1,-1,3,-2,-3,-1,-1,2,-1
"259",1,2,0,-3,-3,3,3,3,0,3,3,3,0,-3,-3,-3,1,3
"260",3,2,3,4,-4,4,2,4,4,2,0,3,3,-2,-4,-3,0,-3
"261",0,2,3,-3,-3,3,4,4,3,3,3,4,4,-2,-4,-3,2,4
"262",-1,1,2,2,3,0,-1,-2,2,0,1,2,2,1,2,3,-3,-4
"263",4,1,4,-2,3,2,2,2,4,4,4,4,4,2,2,2,3,4
"264",3,2,1,-2,-3,2,3,4,3,1,2,2,3,-2,1,2,3,3
"265",1,0,-1,-1,-2,2,2,3,1,-1,1,1,1,0,-1,-1,1,3
"266",4,-4,-3,-2,-3,4,4,4,0,3,4,4,4,-3,2,-3,3,0
"267",-2,3,3,0,-1,-2,2,4,4,3,4,2,0,-1,-2,0,0,1
"268",3,4,1,0,0,0,1,4,2,1,3,1,3,-1,-3,-2,1,0
"269",-2,3,4,-3,-3,-3,2,4,4,3,4,0,0,-4,-4,-3,3,-4
"270",4,2,4,4,4,2,4,3,3,-4,4,4,2,-3,3,-4,3,4
"271",0,0,0,-2,0,-3,0,4,4,0,4,0,0,0,3,0,2,-2
"272",2,3,4,1,0,-1,3,4,4,-3,3,-3,4,1,4,-3,2,-4
"273",2,1,0,-2,-1,3,4,3,1,-2,1,-1,2,2,0,-1,1,3
"274",2,2,-2,-2,-2,1,3,3,4,4,3,4,3,3,1,2,2,3
